week_id,week_label,rule_name,rule_run_id,issue_code,reason_line,affected_agents_count,affected_evaluators_count
23,"Mar 2-8","Billing QA",199,EVALUATOR_UNAVAILABLE,"3 agents unassigned due to evaluator unavailability",3,1
23,"Mar 2-8","Billing QA",199,NO_MATCHING_CONVERSATIONS,"9 agents had no matching conversations",9,0
23,"Mar 2-8","Mortgage Queue",204,ALL_EVALUATORS_AT_CAPACITY,"12 agents unassigned due to evaluator capacity reached",12,4
22,"Feb 23-Mar 1","Claims Exception Queue",192,NO_MATCHING_CONVERSATIONS,"4 agents had no matching conversations",4,0
22,"Feb 23-Mar 1","Claims Exception Queue",192,RULE_EXECUTION_INTERRUPTED,"2 agents not processed as the rule did not execute fully",2,0
22,"Feb 23-Mar 1","Mortgage Queue",195,EVALUATOR_UNAVAILABLE,"1 agents unassigned due to evaluator unavailability",1,1
22,"Feb 23-Mar 1","Mortgage Queue",195,NO_MATCHING_CONVERSATIONS,"6 agents had no matching conversations",6,0
22,"Feb 23-Mar 1","Savings Product - QA Rotation",198,RULE_DID_NOT_EXECUTE,"Rule did not execute due to a system error.",92,0
20,"Feb 9-15","Card Disputes QA",173,NO_MATCHING_CONVERSATIONS,"8 agents had no matching conversations",8,0
20,"Feb 9-15","Card Disputes QA",173,RULE_EXECUTION_INTERRUPTED,"2 agents not processed as the rule did not execute fully",2,0
20,"Feb 9-15","Claims Exception Queue",174,RULE_DID_NOT_EXECUTE,"Rule did not execute due to a system error.",80,0
20,"Feb 9-15","Savings Product - QA Rotation",180,EVALUATOR_UNAVAILABLE,"1 agents unassigned due to evaluator unavailability",1,1
20,"Feb 9-15","Savings Product - QA Rotation",180,NO_MATCHING_CONVERSATIONS,"6 agents had no matching conversations",6,0
18,"Jan 26-Feb 1","Card Disputes QA",155,RULE_DID_NOT_EXECUTE,"Rule did not execute due to a system error.",68,0
18,"Jan 26-Feb 1","Claims Exception Queue",156,EVALUATOR_UNAVAILABLE,"1 agents unassigned due to evaluator unavailability",1,1
18,"Jan 26-Feb 1","Claims Exception Queue",156,NO_MATCHING_CONVERSATIONS,"4 agents had no matching conversations",4,0
18,"Jan 26-Feb 1","Mortgage Queue",159,NO_CONVERSATIONS_IN_PERIOD,"3 agents had no conversations in period",3,0
18,"Jan 26-Feb 1","Mortgage Queue",159,NO_MATCHING_CONVERSATIONS,"4 agents had no matching conversations",4,0
16,"Jan 12-18","Card Disputes QA",137,EVALUATOR_UNAVAILABLE,"1 agents unassigned due to evaluator unavailability",1,1
16,"Jan 12-18","Card Disputes QA",137,NO_MATCHING_CONVERSATIONS,"6 agents had no matching conversations",6,0
16,"Jan 12-18","Savings Product - QA Rotation",144,NO_CONVERSATIONS_IN_PERIOD,"5 agents had no conversations in period",5,0
16,"Jan 12-18","Savings Product - QA Rotation",144,NO_MATCHING_CONVERSATIONS,"8 agents had no matching conversations",8,0
14,"Dec 29-Jan 4","Claims Exception Queue",120,NO_CONVERSATIONS_IN_PERIOD,"2 agents had no conversations in period",2,0
14,"Dec 29-Jan 4","Claims Exception Queue",120,NO_MATCHING_CONVERSATIONS,"4 agents had no matching conversations",4,0
14,"Dec 29-Jan 4","Mortgage Queue",123,NO_MATCHING_CONVERSATIONS,"8 agents had no matching conversations",8,0
12,"Dec 15-21","Card Disputes QA",101,NO_CONVERSATIONS_IN_PERIOD,"4 agents had no conversations in period",4,0
12,"Dec 15-21","Card Disputes QA",101,NO_MATCHING_CONVERSATIONS,"4 agents had no matching conversations",4,0
12,"Dec 15-21","Legacy Escalation QA",104,RULE_DID_NOT_EXECUTE,"Rule did not execute due to a system error.",81,0
12,"Dec 15-21","Savings Product - QA Rotation",108,NO_MATCHING_CONVERSATIONS,"4 agents had no matching conversations",4,0
10,"Dec 1-7","Claims Exception Queue",84,NO_MATCHING_CONVERSATIONS,"4 agents had no matching conversations",4,0
10,"Dec 1-7","Mortgage Queue",87,EVALUATOR_UNAVAILABLE,"1 agents unassigned due to evaluator unavailability",1,1
10,"Dec 1-7","Mortgage Queue",87,NO_MATCHING_CONVERSATIONS,"6 agents had no matching conversations",6,0
10,"Dec 1-7","Renewals - TL Review Batch",89,RULE_DID_NOT_EXECUTE,"Rule did not execute due to a system error.",69,0
8,"Nov 17-23","Card Disputes QA",65,NO_MATCHING_CONVERSATIONS,"8 agents had no matching conversations",8,0
8,"Nov 17-23","Escalation Sweep - Weekend Priority",67,RULE_DID_NOT_EXECUTE,"Rule did not execute due to a system error.",92,0
8,"Nov 17-23","Savings Product - QA Rotation",72,EVALUATOR_UNAVAILABLE,"1 agents unassigned due to evaluator unavailability",1,1
8,"Nov 17-23","Savings Product - QA Rotation",72,NO_MATCHING_CONVERSATIONS,"6 agents had no matching conversations",6,0
6,"Nov 3-9","Billing QA",46,RULE_DID_NOT_EXECUTE,"Rule did not execute due to a system error.",80,0
6,"Nov 3-9","Claims Exception Queue",48,EVALUATOR_UNAVAILABLE,"1 agents unassigned due to evaluator unavailability",1,1
6,"Nov 3-9","Claims Exception Queue",48,NO_MATCHING_CONVERSATIONS,"4 agents had no matching conversations",4,0
6,"Nov 3-9","Mortgage Queue",51,NO_MATCHING_CONVERSATIONS,"4 agents had no matching conversations",4,0
4,"Oct 20-26","Card Disputes QA",29,EVALUATOR_UNAVAILABLE,"1 agents unassigned due to evaluator unavailability",1,1
4,"Oct 20-26","Card Disputes QA",29,NO_MATCHING_CONVERSATIONS,"6 agents had no matching conversations",6,0
4,"Oct 20-26","Onboarding Calls QA",34,RULE_DID_NOT_EXECUTE,"Rule did not execute due to a system error.",68,0
4,"Oct 20-26","Savings Product - QA Rotation",36,NO_MATCHING_CONVERSATIONS,"8 agents had no matching conversations",8,0
2,"Oct 6-12","Claims Exception Queue",12,NO_MATCHING_CONVERSATIONS,"4 agents had no matching conversations",4,0
2,"Oct 6-12","Mortgage Queue",15,NO_MATCHING_CONVERSATIONS,"8 agents had no matching conversations",8,0
